id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts_orch_101,Orchestration Horizon,MOVIE,A systems engineer races to restore a distributed data platform before launch.,2026,PG-13,112,"['drama', 'thriller']",['NG'],,tt9900101,7.4,18420,28.6,7.5
ts_orch_102,Pipeline City,SHOW,Engineers build a resilient data platform while handling unexpected source changes.,2026,TV-14,48,['drama'],['GB'],2.0,tt9900102,8.1,22105,34.2,8.0
ts_orch_103,The Last Checkpoint,MOVIE,A failed checkpoint exposes a hidden flaw in an automated warehouse.,2025,PG-13,105,"['thriller', 'drama']",['US'],,tt9900103,7.8,15770,24.8,7.7
ts_orch_104,Schema Drift,SHOW,A data team investigates mysterious changes arriving in production feeds.,2026,TV-MA,52,"['mystery', 'drama']","['NG', 'GB']",1.0,tt9900104,8.3,19350,39.7,8.2
ts_orch_105,Batch Seventeen,MOVIE,A routine batch becomes the key to solving a large-scale analytics failure.,2026,PG,98,['drama'],['NG'],,tt9900105,7.1,9200,18.4,7.2
ts_orch_106,Continuous,SHOW,An operations team keeps a critical platform running around the clock.,2025,TV-14,45,"['drama', 'comedy']",['CA'],3.0,tt9900106,7.9,14300,31.1,7.8
ts_orch_107,Warehouse Signal,MOVIE,An analyst discovers a pattern hidden inside millions of warehouse records.,2024,PG-13,118,"['mystery', 'thriller']","['US', 'CA']",,tt9900107,7.6,12640,22.9,7.6
ts_orch_108,Retry,MOVIE,A developer gets one final chance to recover a failing production system.,2026,PG-13,101,"['drama', 'comedy']",['GB'],,tt9900108,7.3,8850,19.6,7.4
ts_orch_109,Data Guardians,SHOW,A global engineering team protects the integrity of a streaming platform.,2026,TV-PG,44,['documentary'],"['NG', 'US']",2.0,tt9900109,8.0,16780,27.5,8.1
ts_orch_110,Archive After Success,MOVIE,Two engineers learn why the final step of every pipeline matters.,2025,PG,96,"['comedy', 'drama']",['NG'],,tt9900110,7.0,6540,16.8,7.1
ts_orch_111,The Sensor,SHOW,A monitoring service waits patiently for the signal that starts everything.,2026,TV-14,50,"['scifi', 'thriller']","['GB', 'US']",1.0,tt9900111,8.4,24500,42.3,8.3
ts_orch_112,Green Run,MOVIE,A data team attempts the first completely automated run of a rebuilt pipeline.,2026,PG-13,109,['drama'],"['NG', 'GB']",,tt9900112,7.7,13110,25.4,7.8
